,company,listings
0,The Walt Disney Company,"['https://jp.linkedin.com/in/graphicalphabet', 'https://www.sec.gov/Archives/edgar/data/1744489/000174448921000230/fy2022_q1xxdirectordepartu.htm', 'https://bruceabbott.co/resume']"
1,Parsley Health,"['https://works.dayjimenez.me/filter/parsley-health/Parsley-Health-Brand', 'https://works.dayjimenez.me/Parsley-Health-Leadership', 'http://www.nazkalipci.com/parsley-health-brand']"
2,Capital One,"['https://twitter.com/aigadfw/status/1498327234704203784?lang=bg', 'https://mobile.twitter.com/AIGADFW/status/1498327234704203784', 'https://www.colorvisioncreates.com/the-career-corner/2022/3/14/executive-creative-director-product-portfolio-capital-one']"
3,monday.com,"['https://community.monday.com/t/looking-for-a-monday-wizard-to-assist-with-setup-integration-automation-pronto/31473', 'https://growth.monday.com/homepage/partnership/academic-ecosystem-partners/', 'https://mondaydesign.com/how-our-design-team-builds-ux-research-muscle/']"
4,JPMorgan Chase,"['https://es.linkedin.com/in/uesuxguy/es', 'https://www.linkedin.com/in/gean/es', 'http://joshklenert.com/']"
5,Bubble,"['https://ru.linkedin.com/in/denis-khromov-b537b81b5', 'https://designwanted.com/hubble-bubble-moooi/', 'https://www.pinterest.com/pin/77053843616193021/']"
6,Peloton,"['https://design-milk.com/buckets-and-buckets-of-knobs-with-peloton-head-of-industrial-design-jason-poure/', 'http://www.zackbarangan.com/resume', 'https://investor.onepeloton.com/news-releases/news-release-details/peloton-appoints-dara-treseder-lead-its-marketing-efforts']"
7,Squarespace,"['https://www.meganman.com/', 'https://www.iadas.net/membership/bio/david-lee/5277', 'https://www.dmklee.com/']"
8,Pinwheel,"['https://fr.linkedin.com/company/pinwheel-design?trk=similar-pages_result-card_full-click', 'https://pr.linkedin.com/company/pinwheel-design', 'https://www.pinwheelcontent.com/blog/a-conversation-with-creative-director-david-swope']"
9,"Schrödinger, Inc.","['https://it.linkedin.com/company/schr-dinger?trk=similar-companies_org_image', 'https://nl.linkedin.com/company/schr-dinger?trk=public_profile_experience-item_profile-section-card_subtitle-click', 'https://events.bizzabo.com/351113/agenda/speakers/1259216?widget=true']"
10,BrainPOP,"['https://wiza.co/d/brainpop/5db7', 'http://www.abigailadamsdesigns.com/', 'https://se.linkedin.com/company/brainpop']"
11,Current,"['https://www.linkedin.com/in/beckyburd/fr', 'https://read.cv/rsnoonan', 'https://read.cv/austin']"
12,BCG Digital Ventures,"['https://de.linkedin.com/in/jeannywang/zh-tw', 'https://sg.linkedin.com/in/seamustardif/fr?trk=public_profile_locale_name', 'https://www.loversmagazine.com/interviews/flavio-bezerra']"
13,360Learning,"['https://360learning.com/blog/author/robin-nichols/', 'https://360learning.com/blog/author/david-james/', 'https://360learning.com/blog/tag/l-and-d-plus/']"
