job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
https://www.ziprecruiter.com/k/l/AAJMaEBhVLsfuhXADmQEQOwW0WdXG_7lzZ2qrF6cWTHjhPy8ILOA5vX4Hfi5kIAjg3aWTBguBH1vCkEfdTitrLvFWIOocLHyvzo2xo887VPXk1xGHN7ZGRvCh1GQtbO2hPkp49oHFdBlDDUGHt34vK8MYckogSJDj_2k_ExbHIm6lkmpBeYploMzMKJm3YHTq9qOPFrGa1oMAHSTB5nKMureZH9hE5ZDlWpE,zip_recruiter,Senior Software Engineer,Veterans Sourcing Group,,"Jersey City, NJ, USA",fulltime,2023-11-11,yearly,150000,160000,USD,,0,,,"Senior Software EngineerJersey City, New Jersey (Hybrid) Main Skills: Java, Spring Boot, Microservices, Rest API, Full Stack, Angular, SQL, Cloud. Team lead, manage vendors, work with onshore/offshore teams10 + years full stack java software engineering experience. This is hybrid in Jersey City, 3 days in office, manager is flexible on what those days are.Key for this role is that the person will not be doing hands on coding on a daily basis, They will be building new features and product. More so, this person will have that background but looking to further develop their career as a Technical Lead and is able to understand technical terminology, translate into business requirements, check code, and manage onshore/offshore vendors.This person will be an Individual contributor who has a dotted line into offshore tech teams and can influence without authority. We have an opportunity for a Senior Software Engineer who will lead the development, implementation, and on-going maintenance of the Bank’s application software. Responsibilities include.· Provide the necessary level of project management and control to keep all assigned projects on schedule.· Manage the infrastructure components supporting the enterprise application server environment.· Conduct business area analysis, requirements definition, logical and detailed design, coding, testing, and implementation for all assigned development projects, according to departmental policies and procedures. Must be able to successfully complete large-sized development projects in a timely and cost-effective manner with minimal supervision.· Effectively communicate technical designs and solutions to other technology and business professionals.· Effectively manage and / mitigate the risks, trade-offs, costs, or conflicts that may emerge between short-term project needs and end-state architecture / infrastructure goals when designing solutions. · Provide the domain knowledge of the infrastructure and employ best practices when participating in the management and development of design patterns, infrastructure components, etc.· Participate as a member of the overall BTD contributing and helping to move the team toward the goal of better fulfillment of business needs, cost savings, easier system integration, faster application deliver, improved system performance, lower maintenance effort, and greater resilience and adaptability to change.· Assist the Architect by participating in the management of the infrastructure and architecture, recommending, planning, and documenting for the transition of it from current state technology to future state technology.· Assist in the active management of the infrastructure components. Innovate and provide suggestions, planning, and development of new components as part of this active management and / or during the course of project assignments. · Assist the Architect in the proper planning (communication, standards, education) in support of the successful transition from current state development tools, objects, infrastructures, and architectures to future state development tools, objects, infrastructures, and architectures.· Provide full support for all assigned Bank application systems and/or application infrastructure. System support includes, but is not limited to: problem resolution (business and non-business hours), user support, and system maintenance.· Design, prototype and develop components to be used in the development of the Banks software solutions.· Assist Application architect and end users in identifying and recommending automated solutions to business problems.· Accurately track and record hours worked on assigned projects/maintenance.· Assist in the evaluation and implementation of vendor-supplied solutions.· Provide assistance and direction to other engineers and developers, as required.Skills & Experience· Minimum of 10 years software engineering experienceTechnical Skills· Full Stack JAVA Development· Knowledge of software programmingo Proficient in Java/J2EE development, Angular Framework, Spring booto Strong working knowledge of Application servers like Tomcat, JBoss (EAP and SOA-P).o Strong working knowledge of Cloud Computing environment, preferably AWS.· Strong understanding of Software engineering principles.· SOA, Design Patterns and Frameworks· Proficient in developing reusable components around commonly available frameworks.· Strong in performance engineering and trouble shooting.· Working knowledge of the following DBMS:o Oracle and Microsoft SQL Server· Proficient in gathering and analyzing data and drawing logical conclusions.· Strong understanding of other application servers in the market such as WebSphere or WebLogic.· Good working knowledge of the UNIX and Windows operating systems.· Familiar with project management techniques and one or more Systems Development Life Cycle methodologies.· Familiar with the evaluation, recommendation and implementation of vendor supplied solutions.· Knowledge of current technological trends in the software development industry.· Strong working knowledge of system integration issues between diverse platforms (PCs, UNIX, and Windows).Education · Bachelor’s degree in business, computer science, or engineering preferred. Experience in lieu of education will be considered."
https://www.ziprecruiter.com/k/l/AAIweZ8815qvzVTy7NgSUgQnJz20XXVESTUuMSqKE8KxhIVFmBg2hcwf3Bqx2lodD0iqI_EW63b1mUHp3gJ7hyAPVA8xspVvSdhkVPSh8X9TgANkiRgDDAzXn7MIYPzOrVVRkI8QEDe0UkIb2oSfxkKlGvK9YmT7oykcEUvghwcisQPI59tT414VWVjzeJu53Vk8f6qakp3ATHoDtsqL9qPa2G_gW6oVNwM,zip_recruiter,Software Engineer !,Russell Tobin,,"New York, NY, USA",,2023-11-11,,,,,,0,,,"Title: Software EngineerLocation: New York, NY HYBRIDDuration: 18 monthsPay range $80/$90/hour W2 Duties: Gathers functional requirements, develops technical specifications, and plans projects & testing Designs/develops web, software, mobile apps, prototypes, or proofs of concept (POCs) Resolves defects/bugs during testing, pre-production, production, and post-release patches Integrates with other systems to acquire/generate data, improve quality, and/or increase velocity Works cross-functionally with various teams Mentors junior engineers, new team members Applies technical expertise to challenging programming and design problems in the design and architecture of the project Improves the team’s processes for maximal effectiveness and efficiencySkills: 6+ years of experience developing web, software and mobile applications.Strong experience with the following: Python, JavaScript.Experience working across the entire Software Development Life Cycle (SDLC).Ability to explain complex technical issues to both technical and non-technical audiencesAbility to communicate effectively in stressful situations Ability to provide feedback on workload and management style Unit testing & Test Driven Development (TDD) experience.Experience with both SQL and NoSQL databases.#CB#LIR LI-SM1!"
https://www.ziprecruiter.com/k/l/AAJ137oqE_SqutCl_rlZOl7LVu8smHXzoX012izCaySNzSvshpa90DEIp3Vqgv_GI3y9nPKLcnDGU2hEow3gzMSFMfBp6y3ovfvTyi5AOP_KBdmyGtfwUxnoR5pg5g5DWYkVfrApEroIz44zv7MvZu-pWIl1EubMHVghBZnEI8jCOKjczO9ze3jNXWHiZsMR_Lgx6HXSRbpRJIl1TNliXXLxecwQJGAeDgY,zip_recruiter,Risk Quant - Prime Brokerage,Selby Jennings,,"New York, NY, USA",,2023-11-11,yearly,150000,350000,USD,,0,,,"A Quant Prime Broker is hiring a Quant Researcher to join the team in the USA. This individual can sit remotely anywhere in the continental United States. The firm is interested in speaking with highly skilled quant risk, quant research, and quant development candidates with experience designing and implementing risk and pricing models. This is a full service prime providing a cash and synthetic offering for their institutional clients, and experience working with cryptocurrencies will be a plus. The ideal background for this candidate is flexible - front office sell side quants, hedge fund quant researchers, or big tech data scientists and engineers could all be considered a great fit based on technical skillsets and communication/collaboration. Qualifications: 6+ years of hands on quant experience at a bank, hedge fund, or tech firm Master's required, PhD preferred Expert/developer level Python coding Genuine interest in and experience with Cryptocurrencies/Digital AssetsPreferred experience: market/counterparty risk model development, treasury/funding quant research, software engineering/risk infrastructure development "
https://www.ziprecruiter.com/k/l/AAL48_Vg-8eJWqMYlNQXN3gCv3UVwqEnKxYllUgh4k3CFgC-WvxN8eYO-XX7e4Dab0TpvsVs-Wlq2DxV2VCUKaOdH195bqjfS2CcYDaT6yyI5y7S5wf45YwPZi2sCcKFoPrDxxKoEWVxw7g5733M-AVQi_ncxkB8qPBMQnUHINuYWaPu1M7zMzWQJmAy3xpDtnV9ew4R3imDjuVS07hPepyR0gDEJkaghd8,zip_recruiter,Ecommerce Software Engineer,Jet Recruiters,,"Ridgefield Park, NJ, USA",fulltime,2023-11-11,yearly,150000,175000,USD,,0,,,"Job Summary:The E-commerce software engineer is a key leadership position responsible for providing strategicguidance and direction for an e-commerce business technology initiatives. This role requires a deepunderstanding of both front-end and back-end technologies to optimize website performance, security,and scalability.Key Responsibilities: Technology Strategy: Develop and communicate a technology strategy aligned with the e-commerce business goals. Technology Roadmap: Create and manage a comprehensive technology roadmap that enhanceswebsite functionality and user experience. Front-End and Back-End Expertise: Provide expert guidance on the selection, implementation,and integration of front-end and back-end technologies, frameworks, and platforms. E-commerce Solutions: Identify and recommend e-commerce platforms, payment gateways,and solutions that best suit the business&#39;s needs. Scalability: Ensure that the technology infrastructure is scalable to accommodate businessgrowth and sudden spikes in traffic. Security and Compliance: Implement robust security measures to protect customer data andensure compliance with relevant regulations. Performance Optimization: Develop strategies and best practices for optimizing websiteperformance, including page load times. CDN Expertise: Leverage a deep understanding of CDN services, including platforms likeCloudflare, Akamai, and others, to guide the implementation and configuration of CDN solutionsfor optimized website performance, security, and scalability. Cloud Computing Proficiency: Utilize comprehensive knowledge of cloud computing platforms(e.g., AWS, Azure, Google Cloud) to recommend and oversee the adoption of cloud-basedsolutions that enhance the scalability, flexibility, and efficiency of the e-commerceinfrastructure. Database Knowledge and Collaboration: Ensure that database management systems areoptimized for data storage, retrieval, and management, aligning with the e-commerce business&#39;sneeds for data security, performance, and scalability. Collaborate with external DatabaseAdministrators (DBAs) and consultants while maintaining a fundamental understanding ofdatabase technology. Data Analytics: Promote the use of data analytics tools to derive insights and drive data-informed decisions for marketing, sales, and user experience improvement. Vendor and Team Management: Oversee relationships with technology vendors and internaldevelopment teams, providing leadership and direction. Continuous Evaluation: Stay up-to-date with emerging technologies and trends in e-commerce,evaluating their potential for adoption.Qualifications: Bachelors or Masters degree in Computer Science, Information Technology, or a related field. Proven experience in a technology leadership role within the e-commerce sector. Expertise in front-end and back-end technologies, frameworks, and developmentmethodologies. Knowledge of e-commerce platforms, payment gateways, and industry best practices. Strong project management and leadership skills. Business acumen, with the ability to align technology strategies with business objectives. Excellent communication and collaboration skills. Strong problem-solving and decision-making abilities."
https://www.ziprecruiter.com/k/l/AALFTfs6G9y_06LFg8i3l9YXSBHVRCPyx07EzlrBcfu3WvGhY17btNv4CP8-2zl9WOtFZatEtfOxX_pIiW9E_j0MsPElb9wxq-AMGQOHIA9qV8L1wP5rv6ecWh91v1kV2gznu1NIvw7QC1vceEFcPqEQiklpOL1xLRRT_KJzpzV3MykG9Zb-nm_EBB_39Ce6GdN6tTqy4CKPGavDIEK87Aa-33ZVa13YPVY,zip_recruiter,Software Engineer - Onsite (JAVA back-end exp req; $120-150k+EQUITY!),#twiceasnice Recruiting,,"New York, NY, USA",fulltime,2023-11-11,yearly,120000,150000,USD,,0,,,"Software Engineer Location: New York, NY (near the Flatiron Building) Salary: $120,000-$150,000 + Stock Options Benefits: Medical, Dental, Vision, 401k, PTO, Sick Time, Holidays Job Type: Full-Time Start Date: ASAPSponsorship is availableRelocation assistance is available Software Engineer (Java back-end exp. req.) Description Our client, a revolutionary AI startup, is looking for a Software Engineer to join their innovative team of 11 in NYC. This is an in-office position where you will be mostly focused on back-end engineering. You’ll be responsible for developing and maintaining complex software systems using Scala. Because of their infrastructure, they’re looking for someone with strong back-end engineering experience. This is an opportunity you don’t see often. You’ll play a key part in driving the future of a company before it really explodes. If you are looking for an environment with more structure and less ambiguity, this would not be a good fit. However, if you enjoy the rush of blazing your own trail and understand the hard work and grind that’s involved in these earlier stages of development, this could be perfect. You’ll benefit from not only getting to put your fingerprints on their core product, but you’ll also see the return of your efforts through stock options. This is your chance to get in on the ground floor with the co-founders who have embarked upon developing the most useful consumer AI platform that augments human knowledge to anyone, anywhere, at any time. If you want a seat at that table instead of watching groundbreaking technology from afar, don’t pass this up. Software Engineer (Java back-end exp. req.) Responsibilities• Utilize Scala and related technologies to create and execute intricate software systems• Collaborate to design and implement optimized algorithms• Craft code that is transparent, efficient, and easy to maintain• Ensure the scalability, resilience, and performance• Solve and address software defects and problems in a prompt manner• Create and sustain automated tests to uphold code quality• Contribute to code reviews to maintain excellent code standards • Stay informed about emerging software engineering trends and technologies• Offer suggestions for future development endeavorsSoftware Engineer (Java back-end exp. req.) Qualifications • 3+ years of back-end Java engineering experience required • Familiarity with Scala and its frameworks required • Able and willing to work onsite required If you have trouble applying via the ""Apply Now"" button, please copy and paste this text link into your browser:https://twonice.hire.trakstar.com/jobs/fk0vw5t?cjb_hash=O_pnVg48&apply_now=trueAbout #twiceasnice RecruitingAcross industries, roles, and North America, we help clients quickly attract top talent with custom-built searches. With the lowest fee in the industry, the longest guarantee, and commission-free senior recruiters - we align our interests with the long-term success of every placement.Need recruiting help? www.twonice.com "
https://www.ziprecruiter.com/k/l/AAIzaDwOVPts-Pd71BfTFnREno6SWirPE09Xc_XTI05XZFjFavArkcMPz1up-6ToXFOzQ-mXBBd1N_grU-wACl5N8U8eM2q68neJda7BCdWbHsFXbEzbuaBrTDZdkpGSHKGEcQi2YDGtb8FxQph0qnUJNrl0FwZNwxuSccp2jXqEcWVPqhdTJMerhVO3QlB-L3xJ4IZIaGDtHcBJ8rGOYnwQo5loLRAj-KCZ,zip_recruiter,Part Time Software Developer,"MIOYM EQUITIES, INC",,"The Bronx, NY, USA",parttime,2023-11-11,hourly,20,25,USD,,0,,,"We are seeking a Part Time Full Stack Developer to become an integral part of our team! You will be responsible for creating and modifying computer application software or specialized utility programs.Must know the followingjavascriptNOdeExpress.jsGraphQLSQLPostgresReactPuppeteerAWSEC2We are searching for a Software Developer to be dependable for all front-end platform-related obligations, from creating plans for complicated applications to analyzing code. The JavaScript developer's duties incorporate optimizing applications, guaranteeing UI/UX possibility, and executing API plans and architecture. To be successful as a JavaScript engineer, you ought to have an understanding of web markup and master information of JavaScript. Eventually, a quality JavaScript engineer ought to be able to work in a fast-paced environment and actualize complex plan determinations. Collaborate iteratively with the product to translate business requirements into projects with established requirements and scope that have an achievable and sustainable schedule for development.Design, code, and manage automated test scripts, continuous builds, and deploymentTroubleshoot coding problems quickly and efficiently to ensure a productive workplaceDevelop new features, enhance existing features, and implement bug fixes in existing codeSelf-document development processes, conduct peer reviews and give actionable feedbackTechnical Skills Required:Experience in software development and coding in various languagesJavaScript a MUSTQuery Language: Graphql, SQLCLI Tools: npm, serverless, create-react-app, Amazon Web Services (EC2/MobileHub/AppSync/Route53/Certificate Manager/Cloudfront/S3/C9/Lambda)Libraries: React, Redux, React-Router, Express, jQuery, Socket.IODatabase Management Systems: MySQL, MongoDB, PostgresUtilities: git, vimOperating Systems (OS): Linux, Windows"
https://www.ziprecruiter.com/k/l/AAK86wCgaUlbscvQjioK031WF21pdxaWbqo37GDVn-6Y-aY4mr6LBjw7yLjgRHEoz6KV6yV1Z7HDyVVmp2FwSTd8ypzffpqIJrlUPBXdqlbWFS4mEMLMhfEtRSq7dAHAubKdWYZMHQU3jrmnD10JkDNIPAxvCAECdwIx7t_lD5DLyCrQi3YaaNCL-8aWf48eurp5tDtMT5zCu8YQ9xgCXnFMFXwZicG8MAU,zip_recruiter,Full Time Java Software Engineer,Momentum Resource Solutions,,"Jersey City, NJ, USA",fulltime,2023-11-11,yearly,135000,150000,USD,,0,,,"Full Time Java Software EngineerWe are seeking a self-driven developer, motivated to achieve results, with a high standard for work deliverables, to join the Investment Platforms team. You will be responsible for developing various modules of our portfolio modeling and order management applications managed by our team for our SMA business. This is an opportunity to join a fast-paced environment, with ability to learn about the asset management industry and have an impact on many strategic initiatives around investment platformsBS/BA degree or equivalent experience with 4-7 years of experience in testing, documentation, production support, applications developing, modern web applications using Rest API, caching, Kafka and J2EE/JAVA Architecture.Strong experience in Spring Framework such as Spring MVC, IOC, AOP and Spring JDBC.Experience in building Restful web API with Spring, Spring Boot.Experience in designing front end interfaces using HTML5, CSS3, JavaScript, Bootstrap, ReactJS.Unit and integration testing using Junit and Mockito.Familiar with DevOps tools and experience in CI/CD software.Experience in database system like SQ"
https://www.indeed.com/viewjob?jk=2ee9b487868ed3a5,indeed,Firmware Engineer,GameChange Solar,,"Norwalk, CT, USA",fulltime,2023-08-15,yearly,90000,110000,USD,False,0,,,"Stay current with developments in embedded software development to identify improvements in performance, quality, cost. Embedded software: 4 years (Required)."
https://www.indeed.com/viewjob?jk=b9ae3484f757bf03,indeed,Senior Java Developer,JPMorgan Chase & Co,,"New York, NY, USA",fulltime,2023-08-08,yearly,147250,215000,USD,False,0,,,"Demonstrated proficiency in software applications and technical processes within a technical discipline (e.g., cloud, artificial intelligence, machine learning,…"
https://www.indeed.com/viewjob?jk=d7670e4b2fda9de0,indeed,Machine Learning Engineer,Bloomberg,,"New York, NY, USA",,2022-06-23,yearly,165000,260000,USD,False,0,,,"Knowledge of advanced concepts such as weakly supervised learning, reinforcement learning and active learning. What's In it for you: We'll trust you to:"
